Invoice Number,CU Serial Number,CU Invoice Number,Amount,Date-time
935526,KRAMW019202207043466,0190434660000013490,610.84,2023-01-25 13:23:58
935525,KRAMW019202206040751,0190407510000013488,11968.29,2023-01-25 13:23:05
935524,KRAMW019202207043466,0190434660000013489,4725.03,2023-01-25 13:20:34
935523,KRAMW019202206040751,0190407510000013487,41088.6,2023-01-25 13:18:36
935522,KRAMW019202206040751,0190407510000013486,1485.01,2023-01-25 13:17:37
935511,KRAMW019202207043466,0190434660000013478,684.01,2023-01-25 11:58:35
935509,KRAMW019202207043466,0190434660000013477,1206.88,2023-01-25 11:56:53
935507,KRAMW019202207043466,0190434660000013476,586.8,2023-01-25 11:54:51
935505,KRAMW019202207043466,0190434660000013475,1011.59,2023-01-25 11:54:02
935502,KRAMW019202206040751,0190407510000013467,3555.88,2023-01-25 11:52:03
935498,KRAMW019202206040751,0190407510000013464,36000.02,2023-01-25 11:51:07
935497,KRAMW019202207043466,0190434660000013471,701.09,2023-01-25 11:50:24
935496,KRAMW019202206040751,0190407510000013463,530,2023-01-25 11:49:42
935494,KRAMW019202206040751,0190407510000013461,1272.04,2023-01-25 11:48:53
935492,KRAMW019202206040751,0190407510000013460,1188,2023-01-25 11:48:03
935490,KRAMW019202206040751,0190407510000013459,2299.48,2023-01-25 11:47:14
935489,KRAMW019202207043466,0190434660000013464,6739.73,2023-01-25 11:46:01
935482,KRAMW019202206040751,0190407510000013455,2278.77,2023-01-25 11:39:36
935480,KRAMW019202206040751,0190407510000013454,8148.88,2023-01-25 11:38:31
935477,KRAMW019202207043466,0190434660000013457,1011.59,2023-01-25 11:37:11
935457,KRAMW019202206040751,0190407510000013442,65234.99,2023-01-25 10:32:01
935455,KRAMW019202206040751,0190407510000013441,16851.67,2023-01-25 10:27:36
A172384,KRAMW019202207043466,0190434660000013445,19960.06,2023-01-25 10:13:55
A172383,KRAMW019202206040751,0190407510000013440,1996.88,2023-01-25 10:08:39
A172382,KRAMW019202206040751,0190407510000013439,2796.49,2023-01-25 10:05:29
A172381,KRAMW019202207043466,0190434660000013443,7799.72,2023-01-25 10:02:52
A172380,KRAMW019202206040751,0190407510000013438,270,2023-01-25 10:01:04
A172379,KRAMW019202207043466,0190434660000013442,7189.18,2023-01-25 09:59:50
A172378,KRAMW019202206040751,0190407510000013437,1166.99,2023-01-25 09:56:09
A172377,KRAMW019202207043466,0190434660000013440,661.2,2023-01-25 09:49:08
A172376,KRAMW019202206040751,0190407510000013434,885.4,2023-01-25 09:48:23
A172375,KRAMW019202206040751,0190407510000013433,1136,2023-01-25 09:47:28
A172374,KRAMW019202207043466,0190434660000013438,8383.94,2023-01-25 09:45:55
A172373,KRAMW019202206040751,0190407510000013432,12565.43,2023-01-25 09:42:42
A172372,KRAMW019202207043466,0190434660000013437,740,2023-01-25 09:39:43
A172371,KRAMW019202206040751,0190407510000013431,1452.35,2023-01-25 09:38:01
935448,KRAMW019202207043466,0190434660000013435,14765.31,2023-01-25 09:31:41
935444,KRAMW019202207043466,0190434660000013432,5190.16,2023-01-25 09:01:32
935443,KRAMW019202206040751,0190407510000013426,10355.93,2023-01-25 09:00:20
935442,KRAMW019202207043466,0190434660000013431,1890.03,2023-01-25 08:59:06
935439,KRAMW019202206040751,0190407510000013424,14824.43,2023-01-25 08:52:19
935438,KRAMW019202207043466,0190434660000013429,16148.52,2023-01-25 08:50:14
935433,KRAMW019202206040751,0190407510000013421,1891.24,2023-01-25 08:32:44
935431,KRAMW019202206040751,0190407510000013420,11291.32,2023-01-25 08:30:50
935429,KRAMW019202206040751,0190407510000013419,16966.78,2023-01-25 08:26:42
935427,KRAMW019202206040751,0190407510000013418,7288.82,2023-01-25 08:21:41
935424,KRAMW019202207043466,0190434660000013422,1963.65,2023-01-25 08:13:22
935422,KRAMW019202206040751,0190407510000013413,2207.68,2023-01-25 07:54:59
935415,KRAMW019202207043466,0190434660000013413,7231.86,2023-01-24 16:22:29
935414,KRAMW019202206040751,0190407510000013405,3279.27,2023-01-24 16:19:22
935412,KRAMW019202206040751,0190407510000013404,3907.52,2023-01-24 16:13:09
935411,KRAMW019202207043466,0190434660000013411,12287,2023-01-24 16:10:38
935409,KRAMW019202207043466,0190434660000013410,396.15,2023-01-24 16:09:11
935408,KRAMW019202206040751,0190407510000013402,2056.49,2023-01-24 16:08:17
935406,KRAMW019202206040751,0190407510000013401,5852.65,2023-01-24 16:04:28
935405,KRAMW019202207043466,0190434660000013408,2994.88,2023-01-24 16:00:41
935404,KRAMW019202206040751,0190407510000013400,26227.69,2023-01-24 15:56:46
935402,KRAMW019202207043466,0190434660000013405,3824.96,2023-01-24 15:43:06
935401,KRAMW019202206040751,0190407510000013397,10410.37,2023-01-24 15:41:47
935400,KRAMW019202206040751,0190407510000013395,2037.6,2023-01-24 15:37:33
935399,KRAMW019202206040751,0190407510000013393,505.79,2023-01-24 15:35:57
935398,KRAMW019202207043466,0190434660000013400,2387.7,2023-01-24 15:34:51
935397,KRAMW019202207043466,0190434660000013399,270,2023-01-24 15:32:52
935391,KRAMW019202206040751,0190407510000013380,150236.1,2023-01-24 15:10:18
935388,KRAMW019202206040751,0190407510000013374,23154.8,2023-01-24 15:00:51
935387,KRAMW019202207043466,0190434660000013380,21466.68,2023-01-24 14:54:53
935385,KRAMW019202207043466,0190434660000013377,1280,2023-01-24 14:50:08
935384,KRAMW019202207043466,0190434660000013376,1011.59,2023-01-24 14:49:16
935383,KRAMW019202206040751,0190407510000013367,3106.48,2023-01-24 14:48:08
935382,KRAMW019202207043466,0190434660000013374,21289.91,2023-01-24 14:46:52
935381,KRAMW019202206040751,0190407510000013365,9784.12,2023-01-24 14:45:29
935378,KRAMW019202207043466,0190434660000013372,19813.47,2023-01-24 14:35:06
935376,KRAMW019202207043466,0190434660000013371,3892.87,2023-01-24 14:31:34
935373,KRAMW019202206040751,0190407510000013361,7721.59,2023-01-24 14:29:30
935372,KRAMW019202207043466,0190434660000013369,18969.75,2023-01-24 14:28:05
935368,KRAMW019202207043466,0190434660000013367,30128.33,2023-01-24 14:25:18
935367,KRAMW019202206040751,0190407510000013358,1281.59,2023-01-24 14:21:02
935366,KRAMW019202207043466,0190434660000013366,3203.1,2023-01-24 14:19:29
935365,KRAMW019202206040751,0190407510000013357,945.01,2023-01-24 14:18:03
935364,KRAMW019202207043466,0190434660000013365,810,2023-01-24 14:17:10
935363,KRAMW019202206040751,0190407510000013356,3403.78,2023-01-24 14:15:26
935362,KRAMW019202206040751,0190407510000013354,4248.99,2023-01-24 14:12:31
935361,KRAMW019202207043466,0190434660000013360,2672.98,2023-01-24 14:08:22
935360,KRAMW019202206040751,0190407510000013350,1550,2023-01-24 14:04:56
935359,KRAMW019202207043466,0190434660000013357,5066.05,2023-01-24 14:03:37
935358,KRAMW019202206040751,0190407510000013347,1617.27,2023-01-24 14:02:11
935357,KRAMW019202206040751,0190407510000013345,3152.08,2023-01-24 13:56:01
935356,KRAMW019202207043466,0190434660000013352,46217.77,2023-01-24 13:54:43
935354,KRAMW019202206040751,0190407510000013339,25415.03,2023-01-24 13:45:52
935352,KRAMW019202206040751,0190407510000013337,37796.54,2023-01-24 13:42:16
935349,KRAMW019202206040751,0190407510000013335,65004.15,2023-01-24 13:38:35
935348,KRAMW019202207043466,0190434660000013342,701.09,2023-01-24 13:31:42
935347,KRAMW019202206040751,0190407510000013333,31687.95,2023-01-24 13:30:39
935346,KRAMW019202207043466,0190434660000013341,38216.97,2023-01-24 13:29:32
935345,KRAMW019202206040751,0190407510000013332,2456.1,2023-01-24 13:28:10
935344,KRAMW019202207043466,0190434660000013340,8035.17,2023-01-24 13:26:42
935343,KRAMW019202206040751,0190407510000013331,26227.69,2023-01-24 13:25:33
935340,KRAMW019202207043466,0190434660000013338,16708.41,2023-01-24 13:22:05
935337,KRAMW019202206040751,0190407510000013328,6677.98,2023-01-24 13:19:18
935322,KRAMW019202206040751,0190407510000013319,2744.07,2023-01-24 12:08:11
935321,KRAMW019202207043466,0190434660000013327,2794.48,2023-01-24 12:05:05
935320,KRAMW019202207043466,0190434660000013326,19529.66,2023-01-24 12:03:28
935312,KRAMW019202207043466,0190434660000013319,5705,2023-01-24 11:46:47
935311,KRAMW019202206040751,0190407510000013315,8509.47,2023-01-24 11:45:50
935305,KRAMW019202206040751,0190407510000013312,53328.69,2023-01-24 11:39:56
935303,KRAMW019202206040751,0190407510000013311,969.3,2023-01-24 11:38:01
935301,KRAMW019202206040751,0190407510000013310,21362.22,2023-01-24 11:37:07
935300,KRAMW019202206040751,0190407510000013309,1668.19,2023-01-24 11:34:50
935297,KRAMW019202206040751,0190407510000013308,1475.09,2023-01-24 11:33:35
935294,KRAMW019202206040751,0190407510000013306,1221.68,2023-01-24 11:31:29
935291,KRAMW019202207043466,0190434660000013308,1092.59,2023-01-24 11:30:08
935290,KRAMW019202206040751,0190407510000013304,661.2,2023-01-24 11:29:10
935289,KRAMW019202207043466,0190434660000013307,2966.28,2023-01-24 11:28:07
935288,KRAMW019202206040751,0190407510000013303,3338.99,2023-01-24 11:26:41
935286,KRAMW019202206040751,0190407510000013302,6706.25,2023-01-24 11:24:58
935284,KRAMW019202207043466,0190434660000013304,9310.12,2023-01-24 11:23:25
935281,KRAMW019202207043466,0190434660000013303,240334,2023-01-24 11:20:28
935280,KRAMW019202206040751,0190407510000013299,5094.83,2023-01-24 11:16:50
935279,KRAMW019202207043466,0190434660000013302,3403.78,2023-01-24 11:14:39
935276,KRAMW019202207043466,0190434660000013301,3442.23,2023-01-24 11:12:22
935275,KRAMW019202206040751,0190407510000013297,16633.03,2023-01-24 11:11:20
935274,KRAMW019202207043466,0190434660000013300,3979.5,2023-01-24 11:09:32
935273,KRAMW019202206040751,0190407510000013296,4462.5,2023-01-24 11:08:31
935271,KRAMW019202206040751,0190407510000013295,4600.69,2023-01-24 11:07:31
935270,KRAMW019202207043466,0190434660000013298,7129.65,2023-01-24 11:05:44
935269,KRAMW019202206040751,0190407510000013294,3338.99,2023-01-24 11:04:20
935268,KRAMW019202207043466,0190434660000013296,59771.62,2023-01-24 11:03:11
935267,KRAMW019202206040751,0190407510000013293,17675.06,2023-01-24 11:01:00
935266,KRAMW019202207043466,0190434660000013295,25606.96,2023-01-24 10:58:42
935264,KRAMW019202206040751,0190407510000013291,136756.2,2023-01-24 10:56:44
935262,KRAMW019202207043466,0190434660000013293,35091.74,2023-01-24 10:55:03
935261,KRAMW019202206040751,0190407510000013289,3338.99,2023-01-24 10:54:09
935258,KRAMW019202207043466,0190434660000013291,6677.98,2023-01-24 10:51:56
935256,KRAMW019202207043466,0190434660000013290,2646.9,2023-01-24 10:44:37
935255,KRAMW019202206040751,0190407510000013284,26908.32,2023-01-24 10:43:46
935254,KRAMW019202207043466,0190434660000013289,6382.06,2023-01-24 10:41:36
935253,KRAMW019202206040751,0190407510000013283,1150.84,2023-01-24 10:40:37
935252,KRAMW019202207043466,0190434660000013288,945.01,2023-01-24 10:39:45
935251,KRAMW019202206040751,0190407510000013282,4269.14,2023-01-24 10:38:51
935249,KRAMW019202206040751,0190407510000013281,62358.47,2023-01-24 10:37:00
935248,KRAMW019202207043466,0190434660000013286,3099.24,2023-01-24 10:32:21
935247,KRAMW019202206040751,0190407510000013280,1206.88,2023-01-24 10:31:19
935246,KRAMW019202207043466,0190434660000013285,5463.69,2023-01-24 10:30:34
935245,KRAMW019202206040751,0190407510000013279,4348.8,2023-01-24 10:29:26
935244,KRAMW019202207043466,0190434660000013284,9284.98,2023-01-24 10:28:36
935242,KRAMW019202207043466,0190434660000013283,1637.1,2023-01-24 10:25:59
935241,KRAMW019202206040751,0190407510000013277,396.15,2023-01-24 10:25:01
935240,KRAMW019202206040751,0190407510000013276,17197.19,2023-01-24 10:24:15
935238,KRAMW019202207043466,0190434660000013281,610.84,2023-01-24 10:22:40
935237,KRAMW019202206040751,0190407510000013275,41088.6,2023-01-24 10:21:49
935232,KRAMW019202207043466,0190434660000013278,41088.6,2023-01-24 10:12:02
935231,KRAMW019202206040751,0190407510000013272,3696.43,2023-01-24 10:09:37
935229,KRAMW019202206040751,0190407510000013271,4836.87,2023-01-24 10:08:36
935227,KRAMW019202207043466,0190434660000013273,1221.68,2023-01-24 10:07:34
935225,KRAMW019202207043466,0190434660000013266,2939.26,2023-01-24 10:04:45
935223,KRAMW019202207043466,0190434660000013264,969.3,2023-01-24 10:02:34
935222,KRAMW019202206040751,0190407510000013262,32818,2023-01-24 10:01:46
935220,KRAMW019202207043466,0190434660000013256,2753.73,2023-01-24 10:00:54
935217,KRAMW019202206040751,0190407510000013258,3680.01,2023-01-24 09:55:34
935216,KRAMW019202207043466,0190434660000013253,38806.25,2023-01-24 09:54:47
935214,KRAMW019202207043466,0190434660000013252,3554.73,2023-01-24 09:52:19
935213,KRAMW019202206040751,0190407510000013256,31410.84,2023-01-24 09:51:13
935211,KRAMW019202206040751,0190407510000013255,4883.78,2023-01-24 09:49:46
935210,KRAMW019202207043466,0190434660000013250,1890.03,2023-01-24 09:47:58
935209,KRAMW019202206040751,0190407510000013254,5180,2023-01-24 09:46:34
935208,KRAMW019202207043466,0190434660000013249,2980.2,2023-01-24 09:45:06
935207,KRAMW019202206040751,0190407510000013253,2267.47,2023-01-24 09:44:03
935206,KRAMW019202207043466,0190434660000013248,170764.8,2023-01-24 09:43:08
935205,KRAMW019202206040751,0190407510000013252,9436.74,2023-01-24 09:41:48
935204,KRAMW019202207043466,0190434660000013247,24480.18,2023-01-24 09:40:05
935202,KRAMW019202207043466,0190434660000013246,10284.94,2023-01-24 09:38:34
935200,KRAMW019202206040751,0190407510000013249,22078.69,2023-01-24 09:35:11
935198,KRAMW019202207043466,0190434660000013244,85016.64,2023-01-24 09:34:04
935197,KRAMW019202206040751,0190407510000013248,157221.5,2023-01-24 09:32:51
935195,KRAMW019202206040751,0190407510000013247,31298.55,2023-01-24 09:30:50
935194,KRAMW019202207043466,0190434660000013242,1701.89,2023-01-24 09:29:31
935192,KRAMW019202206040751,0190407510000013245,5696.19,2023-01-24 09:25:44
935191,KRAMW019202207043466,0190434660000013240,2056.49,2023-01-24 09:23:45
935190,KRAMW019202206040751,0190407510000013244,2857.59,2023-01-24 09:22:08
935189,KRAMW019202207043466,0190434660000013239,23417.36,2023-01-24 09:21:05
935188,KRAMW019202206040751,0190407510000013243,5561.76,2023-01-24 09:20:15
935186,KRAMW019202207043466,0190434660000013237,52491.61,2023-01-24 09:18:52
935185,KRAMW019202207043466,0190434660000013235,41088.6,2023-01-24 09:16:43
935183,KRAMW019202207043466,0190434660000013234,35681.45,2023-01-24 09:15:51
935181,KRAMW019202206040751,0190407510000013237,3973.64,2023-01-24 09:13:44
935180,KRAMW019202207043466,0190434660000013232,2256.59,2023-01-24 09:12:43
935178,KRAMW019202206040751,0190407510000013236,31288.3,2023-01-24 09:10:42
935177,KRAMW019202207043466,0190434660000013231,610.84,2023-01-24 09:09:25
935176,KRAMW019202206040751,0190407510000013235,11499.66,2023-01-24 09:08:40
935175,KRAMW019202207043466,0190434660000013230,10867.68,2023-01-24 09:07:48
935172,KRAMW019202206040751,0190407510000013233,3274.2,2023-01-24 09:05:39
935171,KRAMW019202207043466,0190434660000013228,41088.6,2023-01-24 09:02:08
935169,KRAMW019202207043466,0190434660000013227,479.74,2023-01-24 08:58:39
935167,KRAMW019202207043466,0190434660000013226,7503.3,2023-01-24 08:55:51
935166,KRAMW019202206040751,0190407510000013230,661.2,2023-01-24 08:54:43
935165,KRAMW019202207043466,0190434660000013225,1701.89,2023-01-24 08:53:58
935164,KRAMW019202206040751,0190407510000013229,540,2023-01-24 08:53:15
935158,KRAMW019202206040751,0190407510000013226,4202.99,2023-01-24 08:35:45
935156,KRAMW019202206040751,0190407510000013225,11499.66,2023-01-24 08:35:04
935155,KRAMW019202207043466,0190434660000013220,1272.04,2023-01-24 08:34:35
935154,KRAMW019202206040751,0190407510000013224,1637.1,2023-01-24 08:33:59
935153,KRAMW019202207043466,0190434660000013219,8319.1,2023-01-24 08:33:28
935152,KRAMW019202206040751,0190407510000013223,11499.66,2023-01-24 08:32:28
935151,KRAMW019202207043466,0190434660000013218,540,2023-01-24 08:29:55
935150,KRAMW019202206040751,0190407510000013222,14978.1,2023-01-24 08:29:10
935149,KRAMW019202207043466,0190434660000013217,780,2023-01-24 08:26:34
935144,KRAMW019202206040751,0190407510000013219,3175.2,2023-01-24 08:11:48
935143,KRAMW019202206040751,0190407510000013217,1602.3,2023-01-24 07:54:09
935142,KRAMW019202207043466,0190434660000013212,14456.67,2023-01-24 07:48:45
935141,KRAMW019202206040751,0190407510000013216,1668.19,2023-01-24 07:41:43
935140,KRAMW019202207043466,0190434660000013211,999.74,2023-01-24 07:40:39
935139,KRAMW019202206040751,0190407510000013214,1538.1,2023-01-23 16:29:41
935138,KRAMW019202207043466,0190434660000013209,1395.94,2023-01-23 16:27:58
935137,KRAMW019202206040751,0190407510000013213,810,2023-01-23 16:26:50
935136,KRAMW019202207043466,0190434660000013208,1010,2023-01-23 16:26:10
935135,KRAMW019202206040751,0190407510000013212,2832.85,2023-01-23 16:25:34
935134,KRAMW019202207043466,0190434660000013206,270,2023-01-23 16:16:32
935132,KRAMW019202207043466,0190434660000013204,270,2023-01-23 16:12:58
935128,KRAMW019202207043466,0190434660000013202,1746.11,2023-01-23 16:10:58
935127,KRAMW019202206040751,0190407510000013206,661.2,2023-01-23 16:09:33
935125,KRAMW019202206040751,0190407510000013205,10867.52,2023-01-23 16:08:41
935122,KRAMW019202206040751,0190407510000013203,5400.03,2023-01-23 16:05:44
935118,KRAMW019202207043466,0190434660000013197,8585.66,2023-01-23 16:03:32
935112,KRAMW019202206040751,0190407510000013198,2672.4,2023-01-23 15:59:17
935109,KRAMW019202206040751,0190407510000013197,1832.53,2023-01-23 15:57:53
935106,KRAMW019202207043466,0190434660000013191,1322.4,2023-01-23 15:57:10
935101,KRAMW019202206040751,0190407510000013193,1728.45,2023-01-23 15:55:40
935098,KRAMW019202207043466,0190434660000013187,1320,2023-01-23 15:50:22
935094,KRAMW019202207043466,0190434660000013185,3765.76,2023-01-23 15:48:56
935089,KRAMW019202206040751,0190407510000013187,1739.44,2023-01-23 15:46:08
935088,KRAMW019202207043466,0190434660000013182,2328.11,2023-01-23 15:42:33
935086,KRAMW019202207043466,0190434660000013181,3996.69,2023-01-23 15:41:45
935083,KRAMW019202206040751,0190407510000013184,31656.81,2023-01-23 15:40:11
935080,KRAMW019202207043466,0190434660000013177,47174.14,2023-01-23 15:24:43
935075,KRAMW019202206040751,0190407510000013180,35913.76,2023-01-23 15:19:07
935072,KRAMW019202207043466,0190434660000013173,282156.4,2023-01-23 15:12:36
935064,KRAMW019202207043466,0190434660000013169,171947.3,2023-01-23 14:54:45
935061,KRAMW019202206040751,0190407510000013171,129752.5,2023-01-23 14:42:12
935047,KRAMW019202206040751,0190407510000013161,5002.2,2023-01-23 14:22:19
935041,KRAMW019202206040751,0190407510000013158,1538.1,2023-01-23 14:19:51
935038,KRAMW019202206040751,0190407510000013155,3076.2,2023-01-23 14:17:53
935036,KRAMW019202207043466,0190434660000013148,3104.58,2023-01-23 14:17:06
935034,KRAMW019202206040751,0190407510000013152,5002.2,2023-01-23 14:15:50
935030,KRAMW019202206040751,0190407510000013149,6540.3,2023-01-23 14:13:39
935025,KRAMW019202206040751,0190407510000013146,33759.32,2023-01-23 14:11:36
935020,KRAMW019202207043466,0190434660000013137,2551.69,2023-01-23 14:07:54
935018,KRAMW019202207043466,0190434660000013136,3946.99,2023-01-23 14:06:22
935016,KRAMW019202206040751,0190407510000013140,2160.01,2023-01-23 14:04:05
935014,KRAMW019202206040751,0190407510000013139,2097.89,2023-01-23 14:02:47
935008,KRAMW019202207043466,0190434660000013130,1000.79,2023-01-23 14:00:03
935007,KRAMW019202206040751,0190407510000013135,396.15,2023-01-23 13:59:10
935005,KRAMW019202206040751,0190407510000013134,701.09,2023-01-23 13:58:15
934998,KRAMW019202207043466,0190434660000013125,3635.01,2023-01-23 13:54:19
934996,KRAMW019202207043466,0190434660000013123,610.84,2023-01-23 13:52:44
934995,KRAMW019202206040751,0190407510000013127,1701.89,2023-01-23 13:50:51
934994,KRAMW019202207043466,0190434660000013120,661.2,2023-01-23 13:49:06
934991,KRAMW019202207043466,0190434660000013118,1821.62,2023-01-23 13:43:58
934990,KRAMW019202207043466,0190434660000013117,76894.78,2023-01-23 13:43:13
934983,KRAMW019202206040751,0190407510000013119,1751.59,2023-01-23 13:40:04
934982,KRAMW019202206040751,0190407510000013118,2211.99,2023-01-23 13:39:04
934976,KRAMW019202206040751,0190407510000013114,4976.09,2023-01-23 13:34:56
934975,KRAMW019202207043466,0190434660000013107,2501.1,2023-01-23 13:32:57
934973,KRAMW019202206040751,0190407510000013111,14333.47,2023-01-23 13:31:54
934969,KRAMW019202206040751,0190407510000013109,6041.97,2023-01-23 13:28:26
934966,KRAMW019202207043466,0190434660000013101,15399.69,2023-01-23 13:26:07
934964,KRAMW019202206040751,0190407510000013105,3215.19,2023-01-23 13:25:00
934962,KRAMW019202206040751,0190407510000013104,25032.44,2023-01-23 13:23:24
934954,KRAMW019202207043466,0190434660000013094,2100.02,2023-01-23 13:14:46
934952,KRAMW019202207043466,0190434660000013093,18299.26,2023-01-23 13:13:44
934949,KRAMW019202206040751,0190407510000013097,1637.1,2023-01-23 13:09:28
934948,KRAMW019202207043466,0190434660000013091,1272.04,2023-01-23 13:08:08
934931,KRAMW019202206040751,0190407510000013088,10110.25,2023-01-23 12:16:26
934927,KRAMW019202206040751,0190407510000013086,2241.89,2023-01-23 12:12:36
934919,KRAMW019202206040751,0190407510000013082,2514.42,2023-01-23 12:05:36
934915,KRAMW019202206040751,0190407510000013080,2514.42,2023-01-23 12:01:03
934914,KRAMW019202207043466,0190434660000013074,10169.31,2023-01-23 12:00:00
934912,KRAMW019202207043466,0190434660000013073,270,2023-01-23 11:57:39
934908,KRAMW019202207043466,0190434660000013072,540,2023-01-23 11:55:26
934906,KRAMW019202207043466,0190434660000013070,684.01,2023-01-23 11:54:37
934904,KRAMW019202207043466,0190434660000013069,8772.87,2023-01-23 11:52:55
934903,KRAMW019202206040751,0190407510000013074,936.15,2023-01-23 11:51:37
934901,KRAMW019202206040751,0190407510000013073,810,2023-01-23 11:50:32
934899,KRAMW019202206040751,0190407510000013072,9539.94,2023-01-23 11:49:45
934894,KRAMW019202207043466,0190434660000013064,2441.89,2023-01-23 11:46:23
934893,KRAMW019202206040751,0190407510000013069,8064,2023-01-23 11:45:34
934891,KRAMW019202206040751,0190407510000013068,792.3,2023-01-23 11:44:32
934889,KRAMW019202206040751,0190407510000013067,13389.69,2023-01-23 11:43:43
934888,KRAMW019202207043466,0190434660000013061,1420.84,2023-01-23 11:42:52
934886,KRAMW019202207043466,0190434660000013060,11499.66,2023-01-23 11:42:03
934884,KRAMW019202207043466,0190434660000013059,1350,2023-01-23 11:41:17
934883,KRAMW019202207043466,0190434660000013058,5400.74,2023-01-23 11:39:02
934881,KRAMW019202206040751,0190407510000013062,2013.98,2023-01-23 11:37:47
934879,KRAMW019202206040751,0190407510000013061,376.2,2023-01-23 11:36:33
934878,KRAMW019202207043466,0190434660000013055,1280,2023-01-23 11:35:49
934876,KRAMW019202207043466,0190434660000013054,2694.45,2023-01-23 11:34:54
934874,KRAMW019202206040751,0190407510000013059,15199.65,2023-01-23 11:33:16
934873,KRAMW019202206040751,0190407510000013058,2544.09,2023-01-23 11:32:21
934871,KRAMW019202206040751,0190407510000013057,1485.01,2023-01-23 11:31:28
934870,KRAMW019202207043466,0190434660000013051,3054.22,2023-01-23 11:30:42
934868,KRAMW019202207043466,0190434660000013050,14913,2023-01-23 11:29:48
934864,KRAMW019202207043466,0190434660000013047,3338.99,2023-01-23 11:28:04
934862,KRAMW019202207043466,0190434660000013045,6350.4,2023-01-23 11:24:36
934859,KRAMW019202206040751,0190407510000013053,1701.89,2023-01-23 11:22:57
